score,text,idx,user,written_at,agree,disagree,movie_idx
10,꿈꾸며 사랑하고 사랑하며 꿈꿀수는 없는것인가,16998341,왕복30분(wnrh****),2020.07.26 11:00,0,0,134963
10,,16997653,경연(lkyj****),2020.07.26 00:50,0,0,134963
10,정말 최고다..,16995240,주안치(wndk****),2020.07.25 01:20,0,0,134963
10,살면서 본 최고의 영화 중 하나,16995189,nedv****,2020.07.25 01:01,0,0,134963
6,매체같은대서 음청 많이 좋다고 광고하길래 봤더니... 하 역대급 지루한 영화였다. 내가 이상하냐,16995133,부질없다(kfri****),2020.07.25 00:42,0,0,134963
6,매체같은대서 음청 많이 좋다고 광고하길래 봤더니... 하 역대급 지루한 영화였다. 내가 이상하냐,16995134,부질없다(kfri****),2020.07.25 00:42,0,0,134963
9,간만에 힐링되었습니다.. 좋네요.,16991931,3454****,2020.07.23 15:37,0,0,134963
10,미안하지만 난 너에게 웃어줄 수 없을 거 같다,16991011,serenity(rara****),2020.07.23 01:33,0,0,134963
8,라이언  고슬링을   라이언 레이놀즈  아니면 크리스  에반스로   바꿨었으면 좋겠다,16987122,수국(tann****),2020.07.21 08:39,0,0,134963
8,,16986610,ann(annj****),2020.07.21 00:26,0,0,134963
10,영상미 개 미침. 영상미 오진다는 웬만한 영화는 다 봤지만 압도적 1등,16985520,Nananana33(jtal****),2020.07.20 17:14,0,0,134963
10,진짜 너무너무 좋았어요,16972524,Adorabin(luck****),2020.07.17 12:45,0,0,134963
2,음 남친 놔두고 바람핌ㅋ,16971193,알더스(aldu****),2020.07.16 23:41,1,0,134963
9,노래가 넘 좋고 좋았어용(?),16963398,미낭(chae****),2020.07.15 13:36,0,0,134963
10,내인생최고영화에요ㅔ,16962808,bosik(this****),2020.07.15 11:49,0,1,134963
6,아주 예쁘지 않은 여주와 그리 멋지지 않은 남주가 만나 첨에 투닥투닥하다 결국 사랑하게 되는 수수한 러브 스토리. 인줄 알았는데 꿈과 현실에 관한 이야기. 개인적으로 그냥 그랬음.,16959731,온(bazz****),2020.07.13 07:56,0,0,134963
10,,16959133,제비(kimk****),2020.07.12 22:32,0,0,134963
10,뜻대로 되지 않아도 괜찮다. 꿈꾸고 사랑하라.,16957803,두비두빠빠(good****),2020.07.12 11:19,0,0,134963
10,꿈이 있었던 자라면 무조건 울었을 것이다..나조차 확신이 없었던 그때 유일하게 나를 지지하고 격려해 주었던 사람.. 시간을 거슬러 20대의 나를 만났다,16957259,흥칫뿡(jihy****),2020.07.12 00:53,0,0,134963
10,마지막 세바스찬이 미소 지으며 고개 끄덕이는 장면이 계속 남는다,16954385,동현e(dong****),2020.07.10 08:26,0,0,134963
10,꿈의 심취에 아름다움 / 사랑의 아름다움,16954253,하루 새벽 빛(dd90****),2020.07.10 03:21,0,0,134963
10,관람객,16952704,kwan****,2020.07.08 23:27,0,0,134963
9,엔딩이 제일 좋음. 음악과 연출도 좋고 특히 사랑에 빠졌을때 데이트신은 정말 좋다.,16952277,가나(eric****),2020.07.08 17:52,0,0,134963
10,순간이란 주제를 가장 아름답게 표현한 영화,16951785,홍킹(tim4****),2020.07.08 08:32,0,0,134963
10,,16951712,이다인(ekdl****),2020.07.08 04:35,0,0,134963
10,인생영화...,16950848,김도연(doye****),2020.07.07 14:26,0,0,134963
10,다시봐도 최고의명작이네요,16948439,seng****,2020.07.05 21:15,0,0,134963
10,,16947318,윤지나라(welo****),2020.07.05 09:18,0,0,134963
10,인생이 담겨져있는 영화,16947011,Zard(fwma****),2020.07.05 02:09,0,0,134963
10,"라라랜드는 정말 보면 볼수록 좋다.이걸 두 번째 본 오늘, 나의 5년 뒤는 어떤 모습일까",16946829,토마토(doub****),2020.07.05 00:55,0,0,134963
